ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	remarks
B2-1	B2-1	B2-1	FALSE	GSD203		2018-01-09						
B2-2	B2-1	B2-2	FALSE	GSD203		2018-01-09						
B2-3	B2-2	B2-3	FALSE	GSD203		2018-01-09						
B2-4	B2-3	B2-4	FALSE	GSD203		2018-01-09						
B2-5	B2-4	B2-5	FALSE	GSD203		2018-01-09						
B2-6	B2-5	B2-6	FALSE	GSD203		2018-01-09						
B2-7	B2-6	B2-7	FALSE	GSD203		2018-01-09						
B2-8	B2-7	B2-8	FALSE	GSD203		2018-01-09		FALSE	TRUE	terrestrial		Duplicate accepted name with same author
B2-9	B2-7	B2-9	FALSE	GSD203		2018-01-09		FALSE	TRUE	terrestrial		Duplicate accepted name with same author
B2-11	B2-11	B2-11										
B2-12	B2-11	B2-12										
B2-13	B2-12	B2-13										
B2-14	B2-13	B2-14										
B2-15	B2-14	B2-15										
B2-16	B2-15	B2-16										
B2-17	B2-16	B2-17	FALSE	GSD8		2019-01-10		FALSE	TRUE	terrestrial		
B2-18	B2-17	B2-18	FALSE	GSD8		2019-01-10		FALSE	TRUE	terrestrial		Test for duplicated accepted infraspecies with the same author string
B2-19	B2-17	B2-19	FALSE	GSD8		2019-01-10		FALSE	TRUE	terrestrial		Test for duplicated accepted infraspecies with the same author string
