ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	remarks
1	1	1										
2	1	2										
3	2	3										
4	3	4										
5	4	5										
6	5	6										
7	6	7	F	GSD8		2019-01-10T00:00:00		F	T	terrestrial		
8	7	8	F	GSD8		2019-01-10T00:00:00		F	T	terrestrial		Test for duplicated accepted infraspecies with the same author string
9	7	9	F	GSD8		2019-01-10T00:00:00		F	T	terrestrial		Test for duplicated accepted infraspecies with the same author string

